iter	Passed	Remaining
0	5	27786
1	12	32226
2	13	21735
3	13	16551
4	14	14200
5	14	12138
6	15	11050
7	16	10231
8	16	9284
9	17	8916
10	18	8516
11	19	8219
12	20	8055
13	22	7906
14	22	7433
15	22	7024
16	23	6971
17	24	6894
18	26	6850
19	27	6841
20	28	6814
21	30	6830
22	34	7545
23	35	7442
24	38	7703
25	38	7443
26	39	7355
27	40	7195
28	41	7035
29	42	6964
30	42	6886
31	43	6730
32	44	6655
33	45	6664
34	46	6598
35	48	6625
36	49	6642
37	51	6721
38	53	6757
39	53	6605
40	55	6718
41	55	6601
42	57	6577
43	58	6621
44	59	6573
45	60	6531
46	60	6410
47	61	6327
48	62	6302
49	63	6308
50	65	6338
51	67	6414
52	68	6389
53	68	6304
54	69	6270
55	70	6244
56	71	6222
57	73	6229
58	73	6164
59	74	6166
60	75	6123
61	76	6117
62	78	6128
63	80	6216
64	81	6194
65	82	6185
66	83	6140
67	84	6133
68	85	6094
69	85	6034
70	87	6050
71	96	6572
72	99	6724
73	100	6711
74	101	6677
75	102	6650
76	103	6616
77	104	6580
78	105	6540
79	105	6471
80	110	6695
81	111	6665
82	111	6633
83	112	6601
84	113	6537
85	113	6504
86	114	6492
87	115	6434
88	115	6391
89	116	6363
90	116	6310
91	117	6268
92	118	6242
93	118	6185
94	119	6146
95	119	6093
96	120	6073
97	124	6228
98	126	6242
99	126	6187
100	127	6161
101	127	6107
102	129	6179
103	130	6159
104	131	6117
105	132	6110
106	133	6094
107	141	6422
108	142	6374
109	142	6320
110	142	6286
111	143	6250
112	143	6225
113	144	6190
114	147	6246
115	148	6272
116	160	6679
117	172	7139
118	174	7151
119	176	7167
120	177	7166
121	179	7167
122	180	7139
123	180	7109
124	200	7831
125	202	7823
126	203	7826
127	204	7793
128	206	7783
129	206	7741
130	207	7720
131	209	7727
132	210	7696
133	212	7701
134	212	7648
135	221	7932
136	222	7889
137	223	7858
138	223	7807
139	223	7757
140	223	7704
141	224	7677
142	224	7625
143	224	7581
144	224	7533
145	225	7506
146	225	7459
147	226	7433
148	227	7408
149	228	7383
150	228	7339
151	229	7315
152	229	7269
153	229	7236
154	230	7206
155	231	7184
156	232	7163
157	232	7132
158	233	7124
159	234	7106
160	235	7075
161	235	7034
162	235	6996
163	236	6975
164	237	6953
165	237	6919
166	238	6888
167	238	6867
168	239	6841
169	240	6822
170	240	6785
171	240	6751
172	241	6734
173	241	6696
174	242	6676
175	242	6644
176	242	6612
177	243	6594
178	243	6561
179	244	6545
180	244	6517
181	245	6492
182	245	6458
183	246	6445
184	246	6415
185	246	6388
186	247	6362
187	247	6336
188	248	6315
189	248	6286
190	248	6260
191	250	6271
192	251	6261
193	253	6288
194	254	6260
195	254	6249
196	255	6228
197	255	6201
198	256	6180
199	256	6155
200	256	6134
201	257	6123
202	258	6100
203	258	6074
204	259	6061
205	260	6052
206	260	6024
207	261	6014
208	261	5987
209	261	5963
210	261	5942
211	262	5921
212	263	5911
213	263	5895
214	265	5902
215	265	5876
216	266	5874
217	267	5858
218	267	5833
219	268	5831
220	268	5816
221	270	5812
222	271	5807
223	271	5783
224	271	5765
225	272	5763
226	273	5744
227	274	5737
228	274	5727
229	275	5719
230	276	5703
231	276	5679
232	276	5664
233	277	5657
234	278	5646
235	278	5628
236	279	5622
237	280	5615
238	281	5606
239	282	5599
240	283	5593
241	283	5573
242	284	5563
243	284	5549
244	285	5540
245	286	5531
246	286	5514
247	286	5494
248	287	5477
249	287	5455
250	287	5447
251	288	5430
252	288	5417
253	288	5396
254	289	5377
255	289	5368
256	290	5360
257	290	5344
258	291	5335
259	292	5328
260	292	5310
261	292	5292
262	293	5282
263	294	5274
264	294	5257
265	295	5253
266	295	5238
267	295	5220
268	296	5216
269	297	5210
270	298	5205
271	299	5198
272	299	5182
273	300	5176
274	300	5170
275	301	5164
276	301	5148
277	302	5142
278	303	5129
279	303	5122
280	303	5104
281	304	5089
282	304	5083
283	305	5067
284	305	5057
285	306	5051
286	306	5035
287	307	5029
288	307	5019
289	308	5006
290	309	5001
291	309	4997
292	310	4984
293	311	4980
294	311	4974
295	312	4963
296	312	4954
297	313	4944
298	313	4928
299	313	4911
300	313	4895
301	314	4886
302	314	4874
303	315	4870
304	315	4860
305	315	4846
306	316	4830
307	316	4815
308	316	4800
309	316	4795
310	317	4787
311	318	4778
312	318	4765
313	318	4759
314	319	4751
315	319	4739
316	320	4734
317	321	4731
318	322	4726
319	322	4718
320	323	4715
321	324	4710
322	325	4706
323	325	4694
324	325	4683
325	326	4675
326	326	4672
327	327	4670
328	328	4667
329	329	4656
330	329	4652
331	330	4650
332	330	4637
333	331	4632
334	332	4629
335	332	4617
336	332	4605
337	333	4594
338	334	4592
339	334	4585
340	335	4582
341	335	4574
342	336	4563
343	336	4560
344	337	4557
345	338	4554
346	339	4547
347	339	4544
348	340	4540
349	341	4537
350	342	4534
351	342	4522
352	342	4512
353	343	4509
354	344	4503
355	345	4501
356	345	4498
357	346	4488
358	346	4478
359	346	4467
360	346	4456
361	347	4449
362	348	4447
363	348	4444
364	349	4434
365	349	4425
366	350	4418
367	350	4417
368	351	4414
369	352	4411
370	353	4404
371	353	4403
372	354	4392
373	354	4390
374	355	4387
375	355	4377
376	356	4371
377	357	4369
378	357	4358
379	358	4355
380	358	4346
381	358	4335
382	358	4325
383	359	4317
384	359	4309
385	359	4301
386	360	4291
387	360	4280
388	360	4274
389	361	4272
390	361	4265
391	362	4256
392	362	4253
393	363	4247
394	364	4244
395	364	4242
396	365	4236
397	366	4234
398	366	4227
399	367	4225
400	367	4217
401	368	4215
402	369	4213
403	370	4211
404	370	4208
405	371	4199
406	371	4196
407	372	4188
408	372	4179
409	373	4178
410	374	4176
411	374	4174
412	375	4172
413	376	4165
414	376	4157
415	376	4152
416	377	4150
417	377	4141
418	378	4140
419	378	4131
420	379	4130
421	380	4122
422	380	4120
423	381	4119
424	382	4119
425	383	4113
426	384	4112
427	384	4105
428	384	4097
429	385	4095
430	386	4094
431	386	4091
432	387	4089
433	388	4083
434	388	4082
435	389	4073
436	389	4071
437	390	4070
438	391	4067
439	392	4065
440	393	4064
441	393	4056
442	394	4054
443	394	4052
444	395	4051
445	396	4049
446	396	4042
447	397	4041
448	398	4034
449	398	4025
450	398	4023
451	399	4015
452	399	4010
453	399	4003
454	400	3997
455	400	3995
456	401	3994
457	401	3986
458	402	3982
459	403	3979
460	403	3973
461	403	3964
462	404	3963
463	405	3961
464	405	3959
465	406	3958
466	407	3957
467	407	3950
468	408	3942
469	408	3941
