Feature,Coefficient
Wind speed(Hour)(km/h)_lag212,-0.004056146523527074
Rainfull(Hour)(mm)_lag302,-0.0033102274639382158
Rainfull(Day)(mm)_lag296,0.003286246228117025
Outdoor Hum.Min(%)_lag21,-0.0031197542231773193
Wind speed(Hour)(km/h)_lag206,-0.001954407220377116
Rainfull(Day)(mm)_lag300,-0.0019257537203593508
Wind speed(Hour)(km/h)_lag205,0.001588116417916452
Rainfull(Day)(mm)_lag298,-0.0012829029821587942
Rainfull(Day)(mm)_lag299,-0.000889449238604019
Rainfull(Day)(mm)_lag297,0.0008451391398576341
